id,temperature,irradiance,humidity,panel_age,maintenance_count,soiling_ratio,voltage,current,module_temperature,cloud_coverage,wind_speed,pressure,string_id,error_code,installation_type,efficiency
0,7.817315335945355,576.1792699386078,41.24308670850264,32.13550130575492,4.0,0.8031991408942556,37.40352670975764,1.9637870430965731,13.69114732351705,62.494044437385085,12.82491203459621,1018.8665053152532,0,3,0,0.5620962484626834
1,24.785727405911366,240.0039734398761,1.3596482765960705,19.977459933854867,8.0,0.4794558186318908,21.843315463950287,0.2414732915063966,27.54509609843316,43.85123829789105,12.012043660984917,1025.6238537572883,3,0,1,0.3964473900264667
2,46.65269525886593,687.6127989516143,91.26536837560256,1.4964007274098772,4.0,0.8223984756191297,48.222881512794906,4.191800244292628,43.36370806729494,,1.814399755560454,1010.9226539809572,2,0,0,0.5737760372373777
3,53.33956657967308,735.1411790978035,96.1909552117616,18.49158247931468,3.0,0.8375286367590274,46.29574817460039,0.9605670014365224,57.72043616804711,67.36147282535822,8.736258932034128,1021.8466633134252,0,3,1,0.6290092301017816
4,5.575373704368611,12.241202836540898,27.495073003585222,30.722696767333296,6.0,0.5518327211912564,0.0,0.8980620809981434,6.78626273203581,3.632000026494353,0.52268384077164,1008.5559577591928,1,0,2,0.3418737229225652
5,16.545541165800103,174.45512328442047,86.11683466061814,29.85320214348427,5.0,0.9628801361194615,5.35632031155173,2.8780675674045004,19.39229988488013,11.170873901761258,8.541404095869012,1006.9578804993316,2,0,3,0.3761270807095945
6,18.728064325072385,531.9601007918213,91.25225388383434,20.67209903640191,4.0,0.9118211253903364,0.7063475839090447,2.131410847830839,26.52180824319249,31.736360546112277,3.5938300615145584,1016.005079613218,0,0,2,0.5371956997319551
7,52.06064300225122,420.93935191410446,22.07266455497695,4.1063204411905465,3.0,0.5286939541921345,13.228523185840029,3.2992359500364907,58.88480029823055,59.13587927199278,8.321732514520054,1030.4971803983756,2,1,1,0.4668498195546484
8,24.180080413785443,495.7997106239278,48.45598879501976,12.029813424217547,8.0,0.6843265319084355,19.976573327942194,3.2557248497779776,30.63933838715213,80.59504530673365,1.4004639058482031,1012.800375241936,2,3,1,0.5386002931237533
9,37.89596903468966,286.739018106605,8.023472097107298,34.621776730698215,9.0,0.8357601914420443,1.6709134239359529,0.351423376165687,49.29745395232999,34.358445845740945,4.676583637669918,1001.3287852158608,2,2,3,0.3797708453348297
